Marca temporal;¿Con qué frecuencia realiza compras en supermercados?;" ¿Cuál es su percepción general sobre los precios actuales en los supermercados?
";¿Considera que los precios de la canasta básica son accesibles para su economía?;¿Qué productos de la canasta básica considera más costosos actualmente? (puede marcar más de uno);¿Cómo ha cambiado su manera de comprar productos de la canasta básica en el último año?;¿Cree que los supermercados ofrecen precios más altos que otros lugares de compra (como ferias, almacenes o mercados)?;¿Qué estrategias utiliza para ahorrar al hacer las compras? (puede marcar más de una);" En una escala del 1 al 5, ¿qué tan difícil se le hace cubrir los gastos de la canasta básica hoy en día?
 1 (Nada difícil) – 5 (Muy difícil)"
6/18/2025 19:26:40;Semanalmente;Altos;Algo accesibles;Aceite, Leche, Carnes, Verduras o Frutas;Elijo marcas más económicas;Aveces/Depende el producto;Aprovecho ofertas y promociones, Compro en mayoristas, Comparo precios entre distintos locales;4
6/18/2025 19:30:31;Semanalmente;Muy Alto;Poco accesibles;Aceite, Carnes;Elijo marcas más económicas;Aveces/Depende el producto;Aprovecho ofertas y promociones, Comparo precios entre distintos locales;4
6/18/2025 19:30:43;Mensualmente;Altos;Algo accesibles;Aceite, Carnes;Dejo de comprar ciertos productos;Si;Aprovecho ofertas y promociones;5
6/18/2025 19:47:50;Quincenalmente;Muy Alto;Algo accesibles;Leche, Carnes;Elijo marcas más económicas;Aveces/Depende el producto;Aprovecho ofertas y promociones, Comparo precios entre distintos locales;3
6/18/2025 19:49:56;Semanalmente;Muy Alto;Poco accesibles;Aceite, Carnes;Compro menos cantidad;Aveces/Depende el producto;Aprovecho ofertas y promociones, Comparo precios entre distintos locales;3
6/18/2025 20:06:21;Semanalmente;Muy Alto;Poco accesibles;Leche, Carnes, Verduras o Frutas, Arroz o Fideos;Compro menos cantidad;Aveces/Depende el producto;Aprovecho ofertas y promociones;5
6/18/2025 20:10:27;Mensualmente;Moderados;Algo accesibles;Aceite, Leche, Carnes;Elijo marcas más económicas;Si;Aprovecho ofertas y promociones, Compro en mayoristas, Comparo precios entre distintos locales;3
6/18/2025 20:11:09;Mensualmente;Muy Alto;Poco accesibles;Aceite, Carnes, Arroz o Fideos;Dejo de comprar ciertos productos;Si;Aprovecho ofertas y promociones, Comparo precios entre distintos locales;5
6/18/2025 20:12:13;Quincenalmente;Altos;Poco accesibles;Carnes;Elijo marcas más económicas;Aveces/Depende el producto;Aprovecho ofertas y promociones;3
6/18/2025 21:23:53;Diariamente;Altos;Algo accesibles;Aceite, Harina, Carnes;Compro menos cantidad;Si;Aprovecho ofertas y promociones;4
